item_id,question_id,topic,question,candidate_answer,score_0_to_1,rater_comments
BM-001,1,Arrays & Hashing,Explain your logic to find the two indices in an array that sum up to a target value.,"Use a hash table to store number-to-index mappings. For each x in the array, check if target - x is already in the map. If found, return both indices; otherwise insert x. Runs in O(N) time and O(N) space.",0.9,"Optimal: Correct approach, optimal time/space complexity, clear and coherent."
BM-002,1,Arrays & Hashing,Explain your logic to find the two indices in an array that sum up to a target value.,"We begin by initializing an empty associative array or hash map that will keep track of all elements we have inspected so far along with their corresponding 0-indexed positions. We then iterate through the input list from left to right. At each iteration, we calculate the required complement by subtracting the current value from the target sum. We perform a constant-time lookup in our hash map. If the complement is present, we immediately output a tuple containing the stored index and our current index. If it is not present, we record the current value and its index into the map to be referenced by future elements. This guarantees linear time complexity O(n) while utilizing O(n) auxiliary memory.",1.0,Optimal: Thoroughly explained optimal solution with edge cases and mechanics.
BM-003,1,Arrays & Hashing,Explain your logic to find the two indices in an array that sum up to a target value.,"Run two nested loops from i = 0 to n and j = i + 1 to n. Check if arr[i] + arr[j] equals the target. If so, return i and j. This requires O(1) extra space but has O(N^2) quadratic time complexity.",0.7,"Suboptimal: Correct brute force logic, but relies on suboptimal O(N^2) time complexity."
BM-004,1,Arrays & Hashing,Explain your logic to find the two indices in an array that sum up to a target value.,You can use a hash map to look up numbers quickly while iterating through the array.,0.5,Partial: Mentions hash map but lacks step-by-step procedural mechanics.
BM-005,1,Arrays & Hashing,Explain your logic to find the two indices in an array that sum up to a target value.,"To solve two sum efficiently, we must first sort the array using quicksort in O(n log n) time. Then we compute the mathematical average of all numbers, subtract the mean from the target, and perform binary search on the lower half of the array. This finds the exact matching pair in O(log n) additional time.",0.2,Misconception: Incorrect logic for Two Sum using mean subtraction and sorting.
BM-006,1,Arrays & Hashing,Explain your logic to find the two indices in an array that sum up to a target value.,Hash map array indices complement lookup dictionary key value O(N) linear time insertion collision resolution target difference.,0.1,"Unacceptable: Random keyword list, violates jargon policy."
BM-007,1,Arrays & Hashing,Explain your logic to find the two indices in an array that sum up to a target value.,We can find the two sum in O(1) time without extra memory by simply calculating target modulo 2 and indexing directly into the array.,0.1,Unacceptable: Irrelevant and completely incorrect modulo approach.
BM-008,1,Arrays & Hashing,Explain your logic to find the two indices in an array that sum up to a target value.,"Use a hash map to store visited numbers for O(1) lookups, but hash maps do not allow lookups and you have to search the entire array linearly every single time.",0.25,Misconception: Contradictory statements regarding hash map lookups.
BM-009,3,Linked Lists,Describe the approach to reverse a singly linked list in-place.,"Initialize prev to NULL and curr to head. Loop while curr is not NULL: cache curr->next in next_temp, redirect curr->next to prev, move prev to curr, and advance curr to next_temp. Return prev as the new head.",0.9,Optimal: Clearly describes in-place linked list reversal with correct pointers.
BM-010,3,Linked Lists,Describe the approach to reverse a singly linked list in-place.,"Reversing a singly linked list in-place requires redirecting every node's next pointer toward its predecessor without allocating auxiliary heap memory. We initialize three pointer variables: prev initialized to NULL, curr initialized to the list head, and a temporary pointer next_node. In a while loop that executes as long as curr is not NULL, we first preserve the remainder of the list by assigning next_node = curr->next. We then redirect curr->next to prev, effectively reversing the link. Next, we advance prev to curr, and curr to next_node. Upon loop termination, curr is NULL and prev points to the original tail, which is now the new head of the reversed list. Space complexity is O(1) and time complexity is O(N).",1.0,Optimal: Complete and comprehensive step-by-step logic for in-place reversal.
BM-011,3,Linked Lists,Describe the approach to reverse a singly linked list in-place.,We walk along the linked list and point each node backwards toward the previous node until reaching the end.,0.5,Partial: Mentions correct general direction but lacks procedural mechanics.
BM-012,3,Linked Lists,Describe the approach to reverse a singly linked list in-place.,"We swap the first and last elements using array indexing list[0] and list[n-1], then increment and decrement inward.",0.15,Misconception: Assumes array indexing is possible on a singly linked list.
BM-013,3,Linked Lists,Describe the approach to reverse a singly linked list in-place.,"To reverse a singly linked list in-place, we allocate a secondary doubly linked list with forward and backward pointers. We push each node from the original list into a stack, allocate fresh memory for N new nodes, and pop from the stack to construct the reversed list in O(N) additional memory.",0.2,"Misconception: Uses O(N) extra memory and stack, fails the in-place requirement."
BM-014,3,Linked Lists,Describe the approach to reverse a singly linked list in-place.,Three pointers prev curr next pointer redirection in-place O(1) space auxiliary head update reverse singly linked list null termination.,0.1,Unacceptable: Jargon stuffing without coherent grammatical structure.
BM-015,3,Linked Lists,Describe the approach to reverse a singly linked list in-place.,You can reverse a singly linked list by simply following the backward pointers from each node's prev property.,0.15,Misconception: Singly linked lists do not have backward 'prev' pointers.
BM-016,3,Linked Lists,Describe the approach to reverse a singly linked list in-place.,"Set previous to null and pointer current to head. While current exists, hold current's following node, point current's forward link to previous, shift previous forward, and shift current forward. When finished, previous is the start.",0.85,"Optimal: Correct iterative steps, clearly describing the pointer manipulation."
BM-017,10,Trees & BFS,Explain the BFS (Level Order) traversal logic for a binary tree.,"Breadth-first search traverses level by level using a FIFO queue. Push the root to the queue. While queue is non-empty, pop the front node, record its value, and push its non-null left and right children into the queue.",0.9,Optimal: Correctly describes level order traversal using a FIFO queue.
BM-018,10,Trees & BFS,Explain the BFS (Level Order) traversal logic for a binary tree.,"Level order traversal explores a tree hierarchy breadth-first, visiting all nodes at depth d before proceeding to depth d+1. This is implemented using a First-In-First-Out (FIFO) queue data structure. If the root is null, we return immediately. Otherwise, we enqueue the root node. In a while loop running while the queue is not empty, we determine the number of nodes in the current level. For each node in that level, we dequeue it, append its value to our level results, and enqueue its left child if non-null, followed by its right child if non-null. The FIFO property ensures shallower nodes are dequeued before deeper nodes, running in O(N) time and O(W) auxiliary space where W is max tree width.",1.0,"Optimal: Exceptionally detailed, accurate description of BFS and queue mechanics."
BM-019,10,Trees & BFS,Explain the BFS (Level Order) traversal logic for a binary tree.,Level order traversal uses a queue to visit the nodes level by level starting from the root.,0.5,Partial: Mentions the queue data structure but lacks specific procedural steps.
BM-020,10,Trees & BFS,Explain the BFS (Level Order) traversal logic for a binary tree.,BFS uses a recursive function that dives down the left subtree to the deepest leaf before backtracking.,0.2,Misconception: Describes DFS (diving down left subtree) instead of BFS.
BM-021,10,Trees & BFS,Explain the BFS (Level Order) traversal logic for a binary tree.,"Breadth-first search on a binary tree is performed using a LIFO stack. We push the root node, then pop it and push its right child followed by its left child, recursively drilling down the leftmost path until a leaf is reached, then popping back up.",0.2,Misconception: Describes DFS using a LIFO stack instead of BFS.
BM-022,10,Trees & BFS,Explain the BFS (Level Order) traversal logic for a binary tree.,FIFO queue level order traversal breadth first search root enqueue dequeue left child right child depth width tree traversal.,0.1,Unacceptable: Keyword stuffing with no coherent explanation.
BM-023,10,Trees & BFS,Explain the BFS (Level Order) traversal logic for a binary tree.,BFS can be performed using simple recursion without any queue data structure because function call stacks are FIFO.,0.25,"Misconception: Simple recursion (call stack) yields DFS, not BFS."
BM-024,10,Trees & BFS,Explain the BFS (Level Order) traversal logic for a binary tree.,"BFS uses a FIFO queue to visit nodes level by level, but instead of visiting children next, it visits the parent nodes of the root recursively.",0.2,Misconception: Nonsensical reference to visiting parent nodes recursively.
BM-025,41,C Pointers & Memory,What is a pointer in C and how do you declare one?,"A pointer in C is a variable that stores the memory address of another variable. It is declared with the base type followed by an asterisk, like int *ptr;.",0.9,"Optimal: Clear, concise, and accurate definition and declaration of a pointer."
BM-026,41,C Pointers & Memory,What is a pointer in C and how do you declare one?,"In C, a pointer is a distinct variable type whose value represents the memory address of another variable, array, or allocated memory block. Pointers provide direct memory access, enabling dynamic memory allocation, pass-by-reference semantics in functions, and efficient data structure manipulation. To declare a pointer, you specify the data type of the value being pointed to, followed by an asterisk dereference symbol and the pointer variable name, such as int *ptr; or char *str;. The address-of operator & is used to assign an address to the pointer (&variable), and the asterisk * is used as the dereference operator to read or write the value at that address (*ptr).",1.0,"Optimal: Thorough explanation of pointer concepts, syntax, and use cases."
BM-027,41,C Pointers & Memory,What is a pointer in C and how do you declare one?,A pointer holds an address in memory. You declare it using an asterisk.,0.55,Partial: Accurate basic concept but very superficial lacking procedural depth.
BM-028,41,C Pointers & Memory,What is a pointer in C and how do you declare one?,A pointer is an integer variable that holds the total size of your program's executable code.,0.1,Unacceptable: Completely incorrect definition of a pointer.
BM-029,41,C Pointers & Memory,What is a pointer in C and how do you declare one?,A pointer in C is a special function that points to other functions in the operating system. You declare one by writing pointer function_name() and compiling with the -O3 flag to link memory tables.,0.1,"Unacceptable: Fabricated, off-topic explanation of pointers."
